round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
4,new_round,419.13,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,output_activated,419.14,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,tone_start_round_start,419.18,lever_2_out,lever_2_out,,,ID:speaker|,4
4,output_deactivated,419.65,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,lever_extended_lever_2,419.87,lever_2_out,lever_2_out,,,ID:lever_2|,4
4,tone_stop_round_start,420.18,lever_2_out,lever_2_out,,,ID:speaker|,4
4,tone_start_door_1_open,479.15,lever_2_out,lever_2_out,,,ID:speaker|,4
4,lever_retracted_lever_2,479.57,lever_2_out,lever_2_out,,,ID:lever_2|,4
4,tone_stop_door_1_open,480.16,lever_2_out,lever_2_out,,,ID:speaker|,4
4,open_start_door_1,483.16,reward_phase,reward_phase,,,ID:door_1|,4
4,open_finished_door_1,484.77,reward_phase,reward_phase,,,ID:door_1|,4
4,door_1_open_|_beam_broken_door1_ir,485.09,reward_phase,reward_phase,1.92,,beam_ID:door1_ir|,4
4,beam_broken_door1_ir,485.09,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,485.41,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,489.63,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,489.65,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,489.67,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,492.29,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,496.61,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,497.32,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,514.03,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,514.04,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,514.07,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,530.36,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,536.73,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,536.75,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,536.76,reward_phase,reward_phase,,,ID:door1_ir|,4
