round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
5,beam_broken_door1_ir,501.22,reward_phase,reward_phase,,,ID:door1_ir|,5
5,beam_unbroken_door1_ir,504.94,reward_phase,reward_phase,,,ID:door1_ir|,5
5,beam_broken_door1_ir,512.06,reward_phase,reward_phase,,,ID:door1_ir|,5
5,close_start_door_1,512.81,reward_phase,reward_phase,,,ID:door_1|,5
5,beam_unbroken_door1_ir,512.95,reward_phase,reward_phase,,,ID:door1_ir|,5
5,close_finished_door_1,514.63,reward_phase,reward_phase,,,ID:door_1|,5
5,output_activated,514.65,reward_phase,reward_phase,,,ID:round_LED|,5
5,output_deactivated,532.94,reward_phase,reward_phase,,,ID:round_LED|,5
6,new_round,577.95,levers_out,levers_out,,,ID:round_LED|,6
6,output_activated,577.95,levers_out,levers_out,,,ID:round_LED|,6
6,tone_start_round_start,577.97,levers_out,levers_out,,,ID:speaker|,6
6,output_deactivated,578.46,levers_out,levers_out,,,ID:round_LED|,6
6,tone_stop_round_start,578.97,levers_out,levers_out,,,ID:speaker|,6
6,lever_extended_lever_1,579.46,levers_out,levers_out,,,ID:lever_1|,6
6,lever_extended_lever_2,579.46,levers_out,levers_out,,,ID:lever_2|,6
6,,580.65,levers_out,levers_out,1.19,,n_presses:1|,6
6,lever_press,580.65,levers_out,levers_out,,,ID:event_LED|,6
6,output_activated,580.65,levers_out,levers_out,,,ID:event_LED|,6
6,output_deactivated,581.01,levers_out,levers_out,,,ID:event_LED|,6
6,,582.13,levers_out,levers_out,2.66,,n_presses:2|,6
6,presses_reached_lever_2,582.13,levers_out,levers_out,2.66,,n_presses:2|,6
6,lever_press,582.13,levers_out,levers_out,,,ID:event_LED|,6
6,output_activated,582.14,levers_out,levers_out,,,ID:event_LED|,6
6,tone_start_door_1_open,582.17,levers_out,levers_out,,,ID:speaker|,6
6,output_deactivated,582.49,levers_out,levers_out,,,ID:event_LED|,6
6,lever_retracted_lever_1,582.59,levers_out,levers_out,,,ID:lever_1|,6
6,lever_retracted_lever_2,582.79,levers_out,levers_out,,,ID:lever_2|,6
6,tone_stop_door_1_open,583.18,levers_out,levers_out,,,ID:speaker|,6
6,open_start_door_1,585.14,reward_phase,reward_phase,,,ID:door_1|,6
6,open_finished_door_1,586.75,reward_phase,reward_phase,,,ID:door_1|,6
6,door_1_open_|_beam_broken_door1_ir,589.06,reward_phase,reward_phase,3.92,,beam_ID:door1_ir|,6
6,beam_broken_door1_ir,589.06,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_unbroken_door1_ir,589.32,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_broken_door1_ir,607.07,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_unbroken_door1_ir,607.83,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_broken_door1_ir,608.79,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_unbroken_door1_ir,608.85,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_broken_door1_ir,611.97,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_unbroken_door1_ir,612.24,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_broken_door1_ir,617.25,reward_phase,reward_phase,,,ID:door1_ir|,6
6,beam_unbroken_door1_ir,622.5,reward_phase,reward_phase,,,ID:door1_ir|,6
6,close_start_door_1,630.18,reward_phase,reward_phase,,,ID:door_1|,6
6,close_finished_door_1,631.94,reward_phase,reward_phase,,,ID:door_1|,6
6,output_activated,631.94,reward_phase,reward_phase,,,ID:round_LED|,6
6,output_deactivated,642.81,reward_phase,reward_phase,,,ID:round_LED|,6
7,new_round,687.82,levers_out,levers_out,,,ID:round_LED|,7
7,output_activated,687.82,levers_out,levers_out,,,ID:round_LED|,7
7,tone_start_round_start,687.85,levers_out,levers_out,,,ID:speaker|,7
7,output_deactivated,688.33,levers_out,levers_out,,,ID:round_LED|,7
7,tone_stop_round_start,688.86,levers_out,levers_out,,,ID:speaker|,7
7,lever_extended_lever_1,689.3,levers_out,levers_out,,,ID:lever_1|,7
7,lever_extended_lever_2,689.3,levers_out,levers_out,,,ID:lever_2|,7
7,,689.77,levers_out,levers_out,0.45,,n_presses:1|,7
7,lever_press,689.77,levers_out,levers_out,,,ID:event_LED|,7
