FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|5047
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
5,new_round,660.865,lever_1_out,lever_1_out,,,ID:round_LED|,5
5,output_activated,660.867,lever_1_out,lever_1_out,,,ID:round_LED|,5
5,tone_start_round_start,660.917,lever_1_out,lever_1_out,,,ID:speaker|,5
5,output_deactivated,661.369,lever_1_out,lever_1_out,,,ID:round_LED|,5
5,tone_stop_round_start,661.922,lever_1_out,lever_1_out,,,ID:speaker|,5
5,lever_extended_lever_1,662.744,lever_1_out,lever_1_out,,,ID:lever_1|,5
5,lever_pressed_lever_1,669.022,lever_1_out,lever_1_out,,,ID:lever_1|total_presses:1|,5
5,lever_extended_lever_1_|_lever_pressed_lever_1,669.022,lever_1_out,lever_1_out,6.648,,n_presses:1|,5
5,presses_reached_lever_1,669.022,lever_1_out,lever_1_out,6.649,,n_presses:1|,5
5,lever_press,669.024,lever_1_out,lever_1_out,,,ID:event_LED|,5
5,output_activated,669.026,lever_1_out,lever_1_out,,,ID:event_LED|,5
5,tone_start_door_2_open,669.054,lever_1_out,lever_1_out,,,ID:speaker|,5
5,output_deactivated,669.378,lever_1_out,lever_1_out,,,ID:event_LED|,5
5,lever_retracted_lever_1,669.529,lever_1_out,lever_1_out,,,ID:lever_1|,5
5,open_start_door_2,670.034,reward_phase,reward_phase,,,ID:door_2|,5
5,tone_stop_door_2_open,670.059,reward_phase,reward_phase,,,ID:speaker|,5
5,open_finished_door_2,671.639,reward_phase,reward_phase,,,ID:door_2|,5
5,door_2_open_|_beam_broken_door2_ir,688.324,reward_phase,reward_phase,18.293,,beam_ID:door2_ir|,5
5,beam_broken_door2_ir,688.325,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,688.457,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,689.606,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,690.039,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,694.756,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,695.023,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,697.852,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,698.136,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,705.758,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,705.819,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,705.894,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,706.227,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,706.248,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,706.52,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,706.582,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,706.67,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,714.033,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,714.113,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_broken_door2_ir,714.341,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,715.045,reward_phase,reward_phase,,,ID:door2_ir|,5
5,close_start_door_2,730.107,reward_phase,reward_phase,,,ID:door_2|,5
5,close_finished_door_2,731.713,reward_phase,reward_phase,,,ID:door_2|,5
5,output_activated,731.72,reward_phase,reward_phase,,,ID:round_LED|,5
5,output_deactivated,733.274,reward_phase,reward_phase,,,ID:round_LED|,5
6,new_round,778.286,lever_1_out,lever_1_out,,,ID:round_LED|,6
6,output_activated,778.287,lever_1_out,lever_1_out,,,ID:round_LED|,6
6,tone_start_round_start,778.316,lever_1_out,lever_1_out,,,ID:speaker|,6
6,output_deactivated,778.789,lever_1_out,lever_1_out,,,ID:round_LED|,6
6,tone_stop_round_start,779.321,lever_1_out,lever_1_out,,,ID:speaker|,6
6,lever_extended_lever_1,780.191,lever_1_out,lever_1_out,,,ID:lever_1|,6
6,lever_pressed_lever_1,785.205,lever_1_out,lever_1_out,,,ID:lever_1|total_presses:2|,6
6,lever_extended_lever_1_|_lever_pressed_lever_1,785.205,lever_1_out,lever_1_out,5.411,,n_presses:1|,6
6,presses_reached_lever_1,785.205,lever_1_out,lever_1_out,5.411,,n_presses:1|,6
6,lever_press,785.206,lever_1_out,lever_1_out,,,ID:event_LED|,6
6,output_activated,785.208,lever_1_out,lever_1_out,,,ID:event_LED|,6
6,tone_start_door_2_open,785.237,lever_1_out,lever_1_out,,,ID:speaker|,6
6,output_deactivated,785.559,lever_1_out,lever_1_out,,,ID:event_LED|,6
6,open_start_door_2,786.222,reward_phase,reward_phase,,,ID:door_2|,6
6,tone_stop_door_2_open,786.242,reward_phase,reward_phase,,,ID:speaker|,6
6,lever_retracted_lever_1,787.463,lever_1_out,reward_phase,,,ID:lever_1|,6
6,open_finished_door_2,787.827,reward_phase,reward_phase,,,ID:door_2|,6
6,door_2_open_|_beam_broken_door2_ir,792.42,reward_phase,reward_phase,6.201,,beam_ID:door2_ir|,6
6,beam_broken_door2_ir,792.42,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,793.025,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,797.496,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,797.765,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,797.952,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,797.995,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,798.0,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,798.056,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,798.088,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,798.143,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,803.509,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,803.649,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,803.711,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,803.766,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,804.224,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,804.319,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,804.33,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,804.34,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,804.424,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,804.442,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,804.447,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,804.852,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,816.624,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,816.78,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,818.169,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,818.664,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,830.647,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,831.106,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,844.072,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,844.272,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,844.278,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_unbroken_door2_ir,844.286,reward_phase,reward_phase,,,ID:door2_ir|,6
6,beam_broken_door2_ir,844.691,reward_phase,reward_phase,,,ID:door2_ir|,6
6,close_start_door_2,846.281,reward_phase,reward_phase,,,ID:door_2|,6
6,beam_unbroken_door2_ir,846.282,reward_phase,reward_phase,,,ID:door2_ir|,6
6,close_finished_door_2,847.838,reward_phase,reward_phase,,,ID:door_2|,6
6,output_activated,847.84,reward_phase,reward_phase,,,ID:round_LED|,6
6,output_deactivated,860.014,reward_phase,reward_phase,,,ID:round_LED|,6
7,new_round,905.025,lever_1_out,lever_1_out,,,ID:round_LED|,7
7,output_activated,905.026,lever_1_out,lever_1_out,,,ID:round_LED|,7
7,tone_start_round_start,905.066,lever_1_out,lever_1_out,,,ID:speaker|,7
7,output_deactivated,905.528,lever_1_out,lever_1_out,,,ID:round_LED|,7
