FR|1,day|1,delay|0,experiment|door_train_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5120,vole_2|5048
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
13,tone_start_round_start,1350.032,lever_1_out,lever_1_out,,,ID:speaker|,13
13,output_deactivated,1350.51,lever_1_out,lever_1_out,,,ID:round_LED|,13
13,tone_stop_round_start,1351.038,lever_1_out,lever_1_out,,,ID:speaker|,13
13,lever_extended_lever_1,1351.89,lever_1_out,lever_1_out,,,ID:lever_1|,13
13,lever_retracted_lever_1,1410.462,ITI,ITI,,,ID:lever_1|,13
14,new_round,1455.02,lever_1_out,lever_1_out,,,ID:round_LED|,14
14,output_activated,1455.021,lever_1_out,lever_1_out,,,ID:round_LED|,14
14,tone_start_round_start,1455.058,lever_1_out,lever_1_out,,,ID:speaker|,14
14,output_deactivated,1455.523,lever_1_out,lever_1_out,,,ID:round_LED|,14
14,tone_stop_round_start,1456.063,lever_1_out,lever_1_out,,,ID:speaker|,14
14,lever_extended_lever_1,1456.9,lever_1_out,lever_1_out,,,ID:lever_1|,14
14,lever_retracted_lever_1,1515.476,ITI,ITI,,,ID:lever_1|,14
15,new_round,1560.032,lever_1_out,lever_1_out,,,ID:round_LED|,15
15,output_activated,1560.034,lever_1_out,lever_1_out,,,ID:round_LED|,15
15,tone_start_round_start,1560.035,lever_1_out,lever_1_out,,,ID:speaker|,15
15,output_deactivated,1560.536,lever_1_out,lever_1_out,,,ID:round_LED|,15
15,tone_stop_round_start,1561.04,lever_1_out,lever_1_out,,,ID:speaker|,15
15,lever_extended_lever_1,1561.915,lever_1_out,lever_1_out,,,ID:lever_1|,15
15,lever_retracted_lever_1,1620.488,ITI,ITI,,,ID:lever_1|,15
16,new_round,1665.043,lever_1_out,lever_1_out,,,ID:round_LED|,16
16,output_activated,1665.045,lever_1_out,lever_1_out,,,ID:round_LED|,16
16,tone_start_round_start,1665.058,lever_1_out,lever_1_out,,,ID:speaker|,16
16,output_deactivated,1665.547,lever_1_out,lever_1_out,,,ID:round_LED|,16
16,tone_stop_round_start,1666.063,lever_1_out,lever_1_out,,,ID:speaker|,16
16,lever_extended_lever_1,1666.927,lever_1_out,lever_1_out,,,ID:lever_1|,16
16,lever_retracted_lever_1,1725.496,ITI,ITI,,,ID:lever_1|,16
16,output_deactivated,1770.053,ITI,ITI,,,ID:miniscope_trigger|,16
